"Scaffold.x","Scaffold.y","PercentOfTotal","clusterID.Scaffold","Cluster.Size","pop","FSC.A","FSC.H","FSC.W","SSC.A","SSC.H","SSC.W","CD4","Live","CD11b","CD44","CD5.Ly6G","IA.IE","V.BV610.A","CD317","CD62L","CD8a.SiglecF","F4.80","G.PE.A","G.PE.TR.A","CD161","Ly6C","CD25","CD11c","CD19","Time","CD11b.FMO_FMO_FMO_FMO_C01_25.APR.2018_0277.fcs","CD11c.FMO_FMO_FMO_FMO_C01_25.APR.2018_0277.fcs","CD161.FMO_FMO_FMO_FMO_C01_25.APR.2018_0277.fcs","CD19.FMO_FMO_FMO_FMO_C01_25.APR.2018_0277.fcs","CD25.FMO_FMO_FMO_FMO_C01_25.APR.2018_0277.fcs","CD317.FMO_FMO_FMO_FMO_C01_25.APR.2018_0277.fcs","CD4.FMO_FMO_FMO_FMO_C01_25.APR.2018_0277.fcs","CD44.FMO_FMO_FMO_FMO_C01_25.APR.2018_0277.fcs","CD5.Ly6G.FMO_FMO_FMO_FMO_C01_25.APR.2018_0277.fcs","CD62L.FMO_FMO_FMO_FMO_C01_25.APR.2018_0277.fcs","CD8a.SiglecF.FMO_FMO_FMO_FMO_C01_25.APR.2018_0277.fcs","F4.80.FMO_FMO_FMO_FMO_C01_25.APR.2018_0277.fcs","FSC.A.FMO_FMO_FMO_FMO_C01_25.APR.2018_0277.fcs","FSC.H.FMO_FMO_FMO_FMO_C01_25.APR.2018_0277.fcs","FSC.W.FMO_FMO_FMO_FMO_C01_25.APR.2018_0277.fcs","G.PE.A.FMO_FMO_FMO_FMO_C01_25.APR.2018_0277.fcs","G.PE.TR.A.FMO_FMO_FMO_FMO_C01_25.APR.2018_0277.fcs","IA.IE.FMO_FMO_FMO_FMO_C01_25.APR.2018_0277.fcs","Live.FMO_FMO_FMO_FMO_C01_25.APR.2018_0277.fcs","Ly6C.FMO_FMO_FMO_FMO_C01_25.APR.2018_0277.fcs","popsize.FMO_FMO_FMO_FMO_C01_25.APR.2018_0277.fcs","SSC.A.FMO_FMO_FMO_FMO_C01_25.APR.2018_0277.fcs","SSC.H.FMO_FMO_FMO_FMO_C01_25.APR.2018_0277.fcs","SSC.W.FMO_FMO_FMO_FMO_C01_25.APR.2018_0277.fcs","Time.FMO_FMO_FMO_FMO_C01_25.APR.2018_0277.fcs","V.BV610.A.FMO_FMO_FMO_FMO_C01_25.APR.2018_0277.fcs","popID.Scaffold.28.fgcol"
"-673.848869"," 661.382137","0.211222590"," 68"," 1368","B2Bcells","48253.53","41070.0","76367.97"," 85452.64"," 74807.5","73442.03","0.8896988","1.3962441","1.1874671","0.20284152","1.5482819","3.3636051","1.0158500","1.2584215","3.0818782","1.0852219","1.2921247","0.9261786","0.9223253","1.9695417","3.1239284","1.2415653","1.06167288","3.3957689"," 7768.40","1.1874671","1.06167288","1.9695417","3.3957689","1.2415653","1.2584215","0.8896988","0.20284152","1.5482819","3.0818782","1.0852219","1.2921247","48253.53","41070.0","76367.97","0.9261786","0.9223253","3.3636051","1.3962441","3.1239284"," 1368"," 85452.64"," 74807.5","73442.03"," 7768.40","1.0158500","1"
"-108.585258","-498.069615","2.068221191"," 69","13395","CD8Naives","43055.22","39439.0","71620.01"," 45963.45"," 43981.0","68444.29","0.7015721","1.3705995","1.0217334","1.27593974","2.9716080","1.2278768","0.9640620","1.3148698","3.3233674","2.3568299","1.0658543","0.8660635","0.9843691","0.9446389","2.1294345","0.9832035","2.23254365","1.1723523"," 9015.70","1.0217334","2.23254365","0.9446389","1.1723523","0.9832035","1.3148698","0.7015721","1.27593974","2.9716080","3.3233674","2.3568299","1.0658543","43055.22","39439.0","71620.01","0.8660635","0.9843691","1.2278768","1.3705995","2.1294345","13395"," 45963.45"," 43981.0","68444.29"," 9015.70","0.9640620","1"
"-479.333977"," 508.616971","1.496314413"," 70"," 9691","B2Bcells","37452.48","34489.0","71248.55"," 37931.85"," 37189.0","66878.24","0.7837246","1.2322904","1.0273551","1.16373669","1.0117887","2.5395547","0.9925185","1.1716947","3.0867175","0.8821789","1.0792896","0.8728875","0.9841550","0.9661891","2.0442807","1.0434147","1.50946253","2.7879867"," 8996.20","1.0273551","1.50946253","0.9661891","2.7879867","1.0434147","1.1716947","0.7837246","1.16373669","1.0117887","3.0867175","0.8821789","1.0792896","37452.48","34489.0","71248.55","0.8728875","0.9841550","2.5395547","1.2322904","2.0442807"," 9691"," 37931.85"," 37189.0","66878.24"," 8996.20","0.9925185","1"
" 458.111486"," 116.596658","0.013124211"," 71","   85","Monos","50028.42","43831.0","75790.84"," 82750.70"," 75795.0","72390.56","0.9462713","1.1646634","3.0855241","2.65052614","1.0494287","2.7911844","1.0916851","1.9612327","2.3258642","1.2331305","1.0905704","0.8508869","0.9273133","1.3642493","2.6760098","1.9026021","3.42766822","1.8073610"," 7679.80","3.0855241","3.42766822","1.3642493","1.8073610","1.9026021","1.9612327","0.9462713","2.65052614","1.0494287","2.3258642","1.2331305","1.0905704","50028.42","43831.0","75790.84","0.8508869","0.9273133","2.7911844","1.1646634","2.6760098","   85"," 82750.70"," 75795.0","72390.56"," 7679.80","1.0916851","1"
" 126.205329"," 519.980322","0.177254045"," 72"," 1148","NKc","43998.63","38960.5","73849.71"," 55046.05"," 51407.0","70121.67","1.0645671","1.3032759","0.8782521","2.67922850","0.9448721","1.3585048","0.9742543","1.4264607","2.9390184","1.0288531","0.7786725","0.8564219","0.9081314","3.4019692","2.5867111","1.7311315","2.65904389","2.3464088"," 9396.25","0.8782521","2.65904389","3.4019692","2.3464088","1.7311315","1.4264607","1.0645671","2.67922850","0.9448721","2.9390184","1.0288531","0.7786725","43998.63","38960.5","73849.71","0.8564219","0.9081314","1.3585048","1.3032759","2.5867111"," 1148"," 55046.05"," 51407.0","70121.67"," 9396.25","0.9742543","1"
"-153.406201","-154.789302","0.401292040"," 73"," 2599","CD4CM","43895.28","39575.0","73074.31"," 52674.88"," 49655.0","69574.04","2.2815887","1.4035404","1.1119881","2.87923199","3.4203805","1.5599411","0.9440172","1.4227781","2.9788455","1.0100909","1.1267951","0.8608343","0.9870799","0.9707784","1.9795476","0.9738381","2.05962815","1.3794200"," 9442.00","1.1119881","2.05962815","0.9707784","1.3794200","0.9738381","1.4227781","2.2815887","2.87923199","3.4203805","2.9788455","1.0100909","1.1267951","43895.28","39575.0","73074.31","0.8608343","0.9870799","1.5599411","1.4035404","1.9795476"," 2599"," 52674.88"," 49655.0","69574.04"," 9442.00","0.9440172","1"
"-556.007025"," 493.612222","0.201649636"," 74"," 1306","B2Bcells","39547.17","36026.5","72210.11"," 48470.90"," 46814.5","68048.20","0.6914864","1.2704499","1.0420996","0.89626811","1.0430820","3.0344619","0.9943567","1.1864858","3.1600131","2.4524455","1.1087586","0.8777186","0.9822254","0.9743374","2.1961071","1.0726960","1.78554995","2.9434966"," 8644.25","1.0420996","1.78554995","0.9743374","2.9434966","1.0726960","1.1864858","0.6914864","0.89626811","1.0430820","3.1600131","2.4524455","1.1087586","39547.17","36026.5","72210.11","0.8777186","0.9822254","3.0344619","1.2704499","2.1961071"," 1306"," 48470.90"," 46814.5","68048.20"," 8644.25","0.9943567","1"
"-400.886074"," 517.354743","0.238551828"," 75"," 1545","B1 B cells","46767.24","40895.0","75321.57"," 66744.73"," 61442.0","70962.42","1.0689366","1.3870722","1.1291376","2.07682971","2.3737222","3.1725687","1.0085317","1.1704657","2.6874038","0.9956032","1.1789914","0.8926159","0.9697655","0.9994158","2.5606474","1.1287423","0.72006012","3.2269089"," 8813.20","1.1291376","0.72006012","0.9994158","3.2269089","1.1287423","1.1704657","1.0689366","2.07682971","2.3737222","2.6874038","0.9956032","1.1789914","46767.24","40895.0","75321.57","0.8926159","0.9697655","3.1725687","1.3870722","2.5606474"," 1545"," 66744.73"," 61442.0","70962.42"," 8813.20","1.0085317","1"
"-541.352599"," 550.241435","0.910665814"," 76"," 5898","B2Bcells","37491.48","34662.0","70998.39"," 37850.37"," 37004.0","66996.25","0.7932875","1.2395706","1.0289444","1.10500732","0.9710910","1.9671408","0.9965154","1.1331700","1.4473425","0.9237434","1.0490459","0.8802095","0.9813087","0.9990961","2.2884209","1.0221661","1.01887072","2.4544895"," 8964.60","1.0289444","1.01887072","0.9990961","2.4544895","1.0221661","1.1331700","0.7932875","1.10500732","0.9710910","1.4473425","0.9237434","1.0490459","37491.48","34662.0","70998.39","0.8802095","0.9813087","1.9671408","1.2395706","2.2884209"," 5898"," 37850.37"," 37004.0","66996.25"," 8964.60","0.9965154","1"
"-691.964537"," 598.963705","0.039835839"," 77","  258","B2Bcells","22769.37","20913.0","71729.01","103535.86"," 96098.5","69162.02","0.5721529","1.2948486","1.3169538","0.90173369","1.1083035","2.3036729","1.4246308","1.8896469","1.5590943","1.6319650","1.8758272","1.1224351","1.4223134","1.7337764","2.6493946","0.4233823","1.82257156","2.1205742"," 8955.20","1.3169538","1.82257156","1.7337764","2.1205742","0.4233823","1.8896469","0.5721529","0.90173369","1.1083035","1.5590943","1.6319650","1.8758272","22769.37","20913.0","71729.01","1.1224351","1.4223134","2.3036729","1.2948486","2.6493946","  258","103535.86"," 96098.5","69162.02"," 8955.20","1.4246308","1"
